Epoch(UTCG),Lat_GEOD(deg),Lon_GEOD(deg),Height_WGS84 (km),Magnetic Latitude,Magnetic Longitude,MLT
02 Jan 2015 03:49:10.000,-65.799,177.407,1939.665852,-69.99761199951172,-76.73663330078125,17.706051635742188
02 Jan 2015 03:49:20.000,-65.384,177.829,1951.227344,-69.5445785522461,-77.05931854248047,17.687557474772134
02 Jan 2015 03:49:30.000,-64.968,178.235,1962.743677,-69.09176635742188,-77.3713150024414,17.669775899251302
02 Jan 2015 03:49:40.000,-64.552,178.626,1974.214306,-68.63993835449219,-77.67162322998047,17.65277353922526
02 Jan 2015 03:49:50.000,-64.136,179.002,1985.638694,-68.1892318725586,-77.9618911743164,17.636441548665363
02 Jan 2015 03:50:00.000,-63.72,179.366,1997.016312,-67.73908996582031,-78.24056243896484,17.620881652832033
02 Jan 2015 03:50:10.000,-63.304,179.716,2008.354823,-67.29010009765625,-78.51107025146484,17.605867004394533
02 Jan 2015 03:50:20.000,-62.889,-179.945,2019.645401,-66.84256744384766,-78.7702407836914,17.591607157389323
02 Jan 2015 03:50:30.000,-62.473,-179.619,2030.887477,-66.3952865600586,-79.02413177490234,17.57770029703776
02 Jan 2015 03:50:40.000,-62.057,-179.303,2042.080487,-65.94855499267578,-79.26932525634766,17.564372253417968
02 Jan 2015 03:50:50.000,-61.642,-178.998,2053.223881,-65.50359344482422,-79.50660705566406,17.551572672526042
02 Jan 2015 03:51:00.000,-61.226,-178.703,2064.317114,-65.05846405029297,-79.73846435546875,17.539133707682293
02 Jan 2015 03:51:10.000,-60.811,-178.417,2075.359653,-64.61480712890625,-79.96223449707031,17.52723592122396
02 Jan 2015 03:51:20.000,-60.397,-178.141,2086.350974,-64.17294311523438,-80.17985534667969,17.5157470703125
02 Jan 2015 03:51:30.000,-59.982,-177.873,2097.290562,-63.73066329956055,-80.39240264892578,17.504596455891928
02 Jan 2015 03:51:40.000,-59.568,-177.614,2108.177911,-63.29008865356445,-80.59929656982422,17.4938227335612
02 Jan 2015 03:51:50.000,-59.155,-177.363,2119.012524,-62.8510627746582,-80.80028533935547,17.48344268798828
02 Jan 2015 03:52:00.000,-58.741,-177.12,2129.793912,-62.41179275512695,-80.99811553955078,17.473273213704427
02 Jan 2015 03:52:10.000,-58.328,-176.884,2140.521599,-61.97395324707031,-81.19025421142578,17.463483174641926
02 Jan 2015 03:52:20.000,-57.916,-176.655,2151.195113,-61.53760528564453,-81.37727355957031,17.45403544108073
02 Jan 2015 03:52:30.000,-57.504,-176.433,2161.813993,-61.10186767578125,-81.56074523925781,17.444823201497396
02 Jan 2015 03:52:40.000,-57.093,-176.218,2172.377787,-60.66770935058594,-81.74019622802734,17.435880025227863
02 Jan 2015 03:52:50.000,-56.682,-176.008,2182.886052,-60.23379898071289,-81.91497039794922,17.42724863688151
02 Jan 2015 03:53:00.000,-56.271,-175.805,2193.338351,-59.800621032714844,-82.08756256103516,17.418761698404946
02 Jan 2015 03:53:10.000,-55.861,-175.607,2203.734258,-59.36870193481445,-82.25542449951172,17.410592142740885
02 Jan 2015 03:53:20.000,-55.451,-175.416,2214.073354,-58.937583923339844,-82.42190551757812,17.40251261393229
02 Jan 2015 03:53:30.000,-55.043,-175.229,2224.355227,-58.508522033691406,-82.58255767822266,17.394822692871095
02 Jan 2015 03:53:40.000,-54.634,-175.047,2234.579475,-58.07893371582031,-82.7413101196289,17.387259419759115
02 Jan 2015 03:53:50.000,-54.226,-174.871,2244.745701,-57.65096664428711,-82.89786529541016,17.379842631022136
02 Jan 2015 03:54:00.000,-53.819,-174.699,2254.853519,-57.22419738769531,-83.05047607421875,17.372688802083335
02 Jan 2015 03:54:10.000,-53.412,-174.532,2264.902546,-56.79792785644531,-83.2012710571289,17.36565704345703
02 Jan 2015 03:54:20.000,-53.006,-174.369,2274.892411,-56.3729248046875,-83.34872436523438,17.358847045898436
02 Jan 2015 03:54:30.000,-52.6,-174.211,2284.822746,-55.94845962524414,-83.4948959350586,17.352123514811197
02 Jan 2015 03:54:40.000,-52.195,-174.056,2294.693192,-55.52508544921875,-83.63722229003906,17.345655314127605
