Epoch(UTCG),Lat_GEOD(deg),Lon_GEOD(deg),Height_WGS84 (km),Magnetic Latitude,Magnetic Longitude,MLT
01 Jan 2015 22:38:30.000,28.105,-76.127,2711.250351,37.7916259765625,-1.0366348028182983,17.400936484336853
01 Jan 2015 22:38:40.000,28.482,-76.083,2704.815626,38.15007400512695,-0.9569317102432251,17.408963545163473
01 Jan 2015 22:38:50.000,28.86,-76.038,2698.307609,38.5094108581543,-0.8758518695831299,17.417082897822063
01 Jan 2015 22:39:00.000,29.239,-75.993,2691.726484,38.869712829589844,-0.7946242690086365,17.425211083889007
01 Jan 2015 22:39:10.000,29.618,-75.946,2685.072437,39.229854583740234,-0.7108476161956787,17.433510224024456
01 Jan 2015 22:39:20.000,29.998,-75.899,2678.345661,39.59096908569336,-0.6269322037696838,17.44181861480077
01 Jan 2015 22:39:30.000,30.378,-75.851,2671.546348,39.95201110839844,-0.5416859984397888,17.450216233730316
01 Jan 2015 22:39:40.000,30.759,-75.802,2664.6747,40.31393814086914,-0.45506569743156433,17.458705459038416
01 Jan 2015 22:39:50.000,31.14,-75.753,2657.730917,40.675880432128906,-0.3683585226535797,17.467199458678564
01 Jan 2015 22:40:00.000,31.521,-75.702,2650.715206,41.037662506103516,-0.27908360958099365,17.47586616675059
01 Jan 2015 22:40:10.000,31.903,-75.651,2643.631017,41.400421142578125,-0.18966138362884521,17.484542695681252
01 Jan 2015 22:40:20.000,32.286,-75.598,2636.475302,41.76397705078125,-0.09759319573640823,17.493395622074605
01 Jan 2015 22:40:30.000,32.669,-75.545,2629.24825,42.12755584716797,-0.0054417685605585575,17.50225308050091
01 Jan 2015 22:40:40.000,33.053,-75.49,2621.950055,42.49193572998047,0.08936623483896255,17.5112886612614
01 Jan 2015 22:40:50.000,33.437,-75.435,2614.580917,42.85633087158203,0.18426156044006348,17.520330572128294
01 Jan 2015 22:41:00.000,33.822,-75.379,2607.141037,43.22161865234375,0.2805631160736084,17.52946623166402
01 Jan 2015 22:41:10.000,34.207,-75.321,2599.630623,43.58674621582031,0.37948086857795715,17.53877681295077
01 Jan 2015 22:41:20.000,34.593,-75.263,2592.049885,43.95285415649414,0.4785524606704712,17.548096124331156
01 Jan 2015 22:41:30.000,34.98,-75.203,2584.39904,44.31977081298828,0.5803110599517822,17.557596095403035
01 Jan 2015 22:41:40.000,35.367,-75.143,2576.678308,44.686702728271484,0.6821829080581665,17.567103616396587
01 Jan 2015 22:41:50.000,35.755,-75.081,2568.887914,45.054439544677734,0.7867465019226074,17.57679058710734
01 Jan 2015 22:42:00.000,36.143,-75.018,2561.028088,45.4221076965332,0.8927040100097656,17.58656997680664
01 Jan 2015 22:42:10.000,36.532,-74.953,2553.099064,45.79057693481445,1.0013728141784668,17.59653113683065
01 Jan 2015 22:42:20.000,36.921,-74.888,2545.101082,46.1590690612793,1.1101781129837036,17.60650139649709
01 Jan 2015 22:42:30.000,37.311,-74.821,2537.034387,46.52836227416992,1.2217224836349487,17.61665476957957
01 Jan 2015 22:42:40.000,37.701,-74.753,2528.899227,46.897586822509766,1.3346846103668213,17.62690215110779
01 Jan 2015 22:42:50.000,38.093,-74.683,2520.695859,47.26856994628906,1.450465440750122,17.637336937586465
01 Jan 2015 22:43:00.000,38.484,-74.612,2512.424542,47.638526916503906,1.5676294565200806,17.64786495367686
01 Jan 2015 22:43:10.000,38.877,-74.54,2504.085541,48.010337829589844,1.6863545179367065,17.658497548103334
01 Jan 2015 22:43:20.000,39.27,-74.466,2495.679126,48.381988525390625,1.8078242540359497,17.66931312084198
01 Jan 2015 22:43:30.000,39.663,-74.39,2487.205574,48.75346755981445,1.9320646524429321,17.68031238714854
01 Jan 2015 22:43:40.000,40.057,-74.313,2478.665167,49.1258430480957,2.0578413009643555,17.691415087381998
01 Jan 2015 22:43:50.000,40.452,-74.235,2470.058189,49.49911117553711,2.1851866245269775,17.702622365951537
01 Jan 2015 22:44:00.000,40.848,-74.155,2461.384935,49.87317657470703,2.3153955936431885,17.714021062850954
01 Jan 2015 22:44:10.000,41.244,-74.073,2452.645701,50.247074127197266,2.448432445526123,17.725608285268148
01 Jan 2015 22:44:20.000,41.641,-73.989,2443.84079,50.62176513671875,2.5843732357025146,17.737388594945273
01 Jan 2015 22:44:30.000,42.038,-73.903,2434.970512,50.99628829956055,2.7231836318969727,17.74936072031657
01 Jan 2015 22:44:40.000,42.436,-73.816,2426.03518,51.371700286865234,2.86364483833313,17.761443408330283
01 Jan 2015 22:44:50.000,42.835,-73.727,2417.035115,51.747901916503906,3.007085084915161,17.773724699020384
01 Jan 2015 22:45:00.000,43.234,-73.635,2407.970642,52.12384033203125,3.154754400253296,17.786287419001262
01 Jan 2015 22:45:10.000,43.634,-73.542,2398.846908,52.50065994262695,3.304152011871338,17.798965867360433
01 Jan 2015 22:45:20.000,44.035,-73.447,2389.659408,52.87826919555664,3.456598997116089,17.81184811592102
01 Jan 2015 22:45:30.000,44.436,-73.349,2380.408441,53.2556037902832,3.613372564315796,17.825018803278606
01 Jan 2015 22:45:40.000,44.838,-73.249,2371.094315,53.63372802734375,3.773258686065674,17.83839750289917
01 Jan 2015 22:45:50.000,45.241,-73.147,2361.717342,54.012630462646484,3.936290979385376,17.85198493003845
01 Jan 2015 22:46:00.000,45.644,-73.043,2352.27784,54.39134979248047,4.10245418548584,17.865782101949055
01 Jan 2015 22:46:10.000,46.048,-72.936,2342.776134,54.770755767822266,4.273146629333496,17.879881223042805
01 Jan 2015 22:46:20.000,46.453,-72.827,2333.212554,55.150936126708984,4.447088718414307,17.8941969871521
01 Jan 2015 22:46:30.000,46.858,-72.715,2323.587438,55.53083419799805,4.62560510635376,17.908817195892333
01 Jan 2015 22:46:40.000,47.264,-72.6,2313.901129,55.911399841308594,4.808774948120117,17.9237486521403
01 Jan 2015 22:46:50.000,47.671,-72.483,2304.153979,56.29274368286133,4.9953413009643555,17.938907051086424
01 Jan 2015 22:47:00.000,48.078,-72.362,2294.346345,56.67368698120117,5.187938690185547,17.954467010498046
01 Jan 2015 22:47:10.000,48.486,-72.239,2284.47859,57.05540084838867,5.384037494659424,17.970260906219483
01 Jan 2015 22:47:20.000,48.895,-72.113,2274.551088,57.43777847290039,5.585017681121826,17.986379210154215
01 Jan 2015 22:47:30.000,49.305,-71.983,2264.564216,57.820716857910156,5.792267799377441,18.002917035420737
01 Jan 2015 22:47:40.000,49.715,-71.851,2254.518361,58.20344543457031,6.00314474105835,18.019696140289305
01 Jan 2015 22:47:50.000,50.125,-71.714,2244.413917,58.585662841796875,6.221687316894531,18.036986796061196
01 Jan 2015 22:48:00.000,50.537,-71.575,2234.251285,58.9695930480957,6.4441304206848145,18.05453697840373
01 Jan 2015 22:48:10.000,50.949,-71.432,2224.030874,59.35310745239258,6.673067569732666,18.072520605723064
01 Jan 2015 22:48:20.000,51.362,-71.285,2213.753101,59.737159729003906,6.908659934997559,18.090948422749836
01 Jan 2015 22:48:30.000,51.775,-71.134,2203.418391,60.120784759521484,7.150930404663086,18.109821446736653
01 Jan 2015 22:48:40.000,52.189,-70.979,2193.027177,60.50493240356445,7.400055408477783,18.129150422414146
01 Jan 2015 22:48:50.000,52.604,-70.82,2182.579898,60.88961410522461,7.656119346618652,18.148943519592287
01 Jan 2015 22:49:00.000,53.019,-70.656,2172.077003,61.27374267578125,7.920506000518799,18.16929146448771
01 Jan 2015 22:49:10.000,53.435,-70.488,2161.518949,61.65838623046875,8.192068099975586,18.190117772420248
01 Jan 2015 22:49:20.000,53.852,-70.316,2150.906201,62.043540954589844,8.470932006835938,18.21143086751302
01 Jan 2015 22:49:30.000,54.269,-70.138,2140.239232,62.42802047729492,8.759832382202148,18.233412551879884
01 Jan 2015 22:49:40.000,54.687,-69.956,2129.518522,62.812992095947266,9.056306838989258,18.255900192260743
01 Jan 2015 22:49:50.000,55.106,-69.768,2118.744561,63.198246002197266,9.363215446472168,18.279083442687988
01 Jan 2015 22:50:00.000,55.525,-69.575,2107.917847,63.58291244506836,9.679252624511719,18.302875773111978
01 Jan 2015 22:50:10.000,55.945,-69.376,2097.046116,63.96783447265625,10.0060453414917,18.327383613586427
01 Jan 2015 22:50:20.000,56.365,-69.171,2086.122634,64.35205078125,10.34367561340332,18.352615483601888
01 Jan 2015 22:50:30.000,56.786,-68.96,2075.14786,64.73649597167969,10.692447662353516,18.378590647379557
01 Jan 2015 22:50:40.000,57.208,-68.743,2064.122263,65.12118530273438,11.052587509155273,18.405323155721028
01 Jan 2015 22:50:50.000,57.63,-68.519,2053.046318,65.50502014160156,11.425532341003418,18.43290983835856
01 Jan 2015 22:51:00.000,58.052,-68.288,2041.92051,65.88798522949219,11.811509132385254,18.461364301045737
01 Jan 2015 22:51:10.000,58.475,-68.05,2030.74533,66.27104187011719,12.210927963256836,18.490716425577798
01 Jan 2015 22:51:20.000,58.899,-67.804,2019.521282,66.65406036376953,12.625436782836914,18.521074040730795
01 Jan 2015 22:51:30.000,59.323,-67.55,2008.248876,67.03607177734375,13.055153846740723,18.552446047465008
01 Jan 2015 22:51:40.000,59.747,-67.288,1996.928633,67.41704559326172,13.500385284423828,18.584851837158205
01 Jan 2015 22:51:50.000,60.172,-67.018,1985.561083,67.79794311523438,13.961640357971191,18.61832637786865
01 Jan 2015 22:52:00.000,60.597,-66.738,1974.146765,68.17754364013672,14.441819190979004,18.653063011169433
01 Jan 2015 22:52:10.000,61.023,-66.449,1962.686231,68.5569076538086,14.940140724182129,18.689009157816567
01 Jan 2015 22:52:20.000,61.448,-66.15,1951.180039,68.9339828491211,15.457932472229004,18.726253318786622
01 Jan 2015 22:52:30.000,61.875,-65.84,1939.62876,69.31151580810547,15.99770450592041,18.764962323506673
01 Jan 2015 22:52:40.000,62.301,-65.52,1928.032977,69.68669891357422,16.55780601501465,18.80502764383952
01 Jan 2015 22:52:50.000,62.728,-65.188,1916.39328,70.06121063232422,17.141983032226562,18.846697998046874
01 Jan 2015 22:53:00.000,63.154,-64.844,1904.710273,70.4330825805664,17.750221252441406,18.889972941080728
01 Jan 2015 22:53:10.000,63.581,-64.488,1892.98457,70.8042221069336,18.383630752563477,18.934924443562824
01 Jan 2015 22:53:20.000,64.008,-64.118,1881.216797,71.17339324951172,19.045278549194336,18.981760025024414
01 Jan 2015 22:53:30.000,64.435,-63.734,1869.407589,71.54054260253906,19.735774993896484,19.030519358317058
01 Jan 2015 22:53:40.000,64.862,-63.336,1857.557596,71.9056396484375,20.455801010131836,19.08124682108561
01 Jan 2015 22:53:50.000,65.289,-62.922,1845.667476,72.26840209960938,21.20881462097168,19.134173965454103
01 Jan 2015 22:54:00.000,65.715,-62.491,1833.737902,72.627685546875,21.99652099609375,19.189412943522136
01 Jan 2015 22:54:10.000,66.141,-62.044,1821.769555,72.9845199584961,22.81870460510254,19.246951421101887
01 Jan 2015 22:54:20.000,66.567,-61.578,1809.763131,73.33848571777344,23.680341720581055,19.30712064107259
01 Jan 2015 22:54:30.000,66.993,-61.093,1797.719337,73.68951416015625,24.582313537597656,19.369978841145834
01 Jan 2015 22:54:40.000,67.417,-60.588,1785.638891,74.03548431396484,25.525785446166992,19.435602696736655
01 Jan 2015 22:54:50.000,67.842,-60.061,1773.522522,74.37896728515625,26.516082763671875,19.504349772135416
01 Jan 2015 22:55:00.000,68.265,-59.512,1761.370974,74.71696472167969,27.552349090576172,19.576160939534507
01 Jan 2015 22:55:10.000,68.687,-58.938,1749.195347,75.05000305175781,28.64017105102539,19.651410166422526
01 Jan 2015 22:55:20.000,69.109,-58.338,1736.986093,75.3788070678711,29.782564163208008,19.730296961466472
01 Jan 2015 22:55:30.000,69.529,-57.712,1724.743899,75.70134735107422,30.978944778442383,19.81278241475423
01 Jan 2015 22:55:40.000,69.947,-57.057,1712.469463,76.01712799072266,32.2341194152832,19.899187978108724
01 Jan 2015 22:55:50.000,70.365,-56.371,1700.163493,76.32770538330078,33.55329132080078,19.989861043294272
01 Jan 2015 22:56:00.000,70.78,-55.653,1687.82671,76.62993621826172,34.93574142456055,20.084752146402995
01 Jan 2015 22:56:10.000,71.193,-54.9,1675.459844,76.92427062988281,36.38679885864258,20.1842165629069
01 Jan 2015 22:56:20.000,71.604,-54.11,1663.063639,77.2103042602539,37.90937805175781,20.288450113932292
01 Jan 2015 22:56:30.000,72.013,-53.281,1650.63885,77.48766326904297,39.50618362426758,20.39763209025065
01 Jan 2015 22:56:40.000,72.418,-52.41,1638.186246,77.75389862060547,41.178226470947266,20.511830393473307
01 Jan 2015 22:56:50.000,72.821,-51.495,1625.706606,78.01054382324219,42.92988967895508,20.631336720784507
01 Jan 2015 22:57:00.000,73.22,-50.532,1613.200726,78.25505065917969,44.76225280761719,20.756222025553384
01 Jan 2015 22:57:10.000,73.615,-49.519,1600.669414,78.487060546875,46.67576599121094,20.88651835123698
01 Jan 2015 22:57:20.000,74.005,-48.452,1588.113489,78.7050552368164,48.67100143432617,21.02226333618164
01 Jan 2015 22:57:30.000,74.391,-47.328,1575.533789,78.9095458984375,50.749839782714844,21.16358184814453
01 Jan 2015 22:57:40.000,74.772,-46.142,1562.931162,79.09895324707031,52.91219711303711,21.310467274983726
01 Jan 2015 22:57:50.000,75.147,-44.892,1550.306474,79.27217102050781,55.15298843383789,21.462583160400392
01 Jan 2015 22:58:00.000,75.516,-43.572,1537.660603,79.42854309082031,57.47267532348633,21.6199587504069
01 Jan 2015 22:58:10.000,75.877,-42.18,1524.994444,79.56625366210938,59.86134719848633,21.78193333943685
01 Jan 2015 22:58:20.000,76.23,-40.709,1512.308907,79.68473052978516,62.317771911621094,21.948423767089842
01 Jan 2015 22:58:30.000,76.575,-39.156,1499.604917,79.78406524658203,64.83540344238281,22.11899617513021
01 Jan 2015 22:58:40.000,76.911,-37.517,1486.883414,79.86347198486328,67.40547943115234,22.293064880371094
01 Jan 2015 22:58:50.000,77.236,-35.786,1474.145355,79.92109680175781,70.01716613769531,22.469907633463542
01 Jan 2015 22:59:00.000,77.549,-33.96,1461.391712,79.95661163330078,72.65867614746094,22.648739115397134
01 Jan 2015 22:59:10.000,77.85,-32.035,1448.623473,79.97055053710938,75.32209014892578,22.829029337565103
01 Jan 2015 22:59:20.000,78.138,-30.007,1435.841642,79.96273040771484,77.99687194824219,23.010078938802085
01 Jan 2015 22:59:30.000,78.41,-27.873,1423.047241,79.93142700195312,80.6654281616211,23.190714009602864
01 Jan 2015 22:59:40.000,78.667,-25.632,1410.241304,79.8788070678711,83.32270050048828,23.370596822102865
01 Jan 2015 22:59:50.000,78.905,-23.282,1397.424885,79.80257415771484,85.9493408203125,23.548436482747395
01 Jan 2015 23:00:00.000,79.125,-20.825,1384.599053,79.70528411865234,88.54149627685547,23.723978169759114
01 Jan 2015 23:00:10.000,79.324,-18.261,1371.77761,79.58573150634766,91.08561706542969,23.896317545572916
01 Jan 2015 23:00:20.000,79.502,-15.596,1358.949124,79.44590759277344,93.57636260986328,0.06509908040364465
01 Jan 2015 23:00:30.000,79.656,-12.836,1346.1146,79.28498840332031,96.00088500976562,0.22946573893229072
01 Jan 2015 23:00:40.000,79.786,-9.989,1333.27505,79.10479736328125,98.35777282714844,0.38932291666666785
01 Jan 2015 23:00:50.000,79.89,-7.066,1320.431502,78.90542602539062,100.63925170898438,0.5441533406575516
01 Jan 2015 23:01:00.000,79.968,-4.08,1307.584995,78.68865966796875,102.84512329101562,0.6939437866210945
01 Jan 2015 23:01:10.000,80.017,-1.046,1294.736581,78.4534683227539,104.96613311767578,0.8380772908528655
01 Jan 2015 23:01:20.000,80.039,2.021,1281.887325,78.2029800415039,107.0102310180664,0.9770818074544287
01 Jan 2015 23:01:30.000,80.031,5.102,1269.038308,77.9358901977539,108.96829223632812,1.1103520711263037
01 Jan 2015 23:01:40.000,79.994,8.179,1256.190622,77.65411376953125,110.84447479248047,1.2381637573242195
01 Jan 2015 23:01:50.000,79.929,11.236,1243.345376,77.35916900634766,112.64351654052734,1.3608332316080727
