194008  11    10   9   9  10  11  12  14  11  0.54  2
194009  14    14  15  11  12  12  16  19  13  0.63  3
194010  14    13  15  14  12  13  13  21  13  0.64  3
194011  16    16  18  20  17  16  13  12  16  0.73  3
194012  15    13  15  14  15  15  16  14  14  0.72  3
194101  14    16  13  13  12  14  16  14  15  0.68  3
194102  18    17  19  16  18  17  19  19  18  0.84  4
194103  33    29  27  27  33  32  40  40  35  1.03  5
194104  15    16  18  16  16  13  13  13  15  0.68  3
194105  11    12  11  11  10   9   8  12  12  0.54  2
194106  11    12  10  12  11  11   9  11  11  0.52  2
194107  19    16  17  24  20  24  20  17  18  0.62  3
194108  16    18  16  15  16  20  14  14  17  0.62  3
194109  27    26  31  30  27  25  24  27  24  0.78  4
194110  11    11  12  10   7   7  12  16  16  0.51  2
194111  16    19  19  19  14  13  15  16  13  0.66  3
194112  11    10  12  10  11  13  12   9  13  0.49  2
194201   9     9  12   9   9   9   8   8   9  0.45  2
194202  12    13  12  10  10  14  12  13  12  0.56  2
194203  22    24  23  23  25  22  24  20  17  0.90  4
194204  17    20  19  17  17  19  16  16  13  0.71  3
194205   8     9   9   9   7   6   7   9   8  0.38  2
194206   8     8   8   8   7   9   9   8   7  0.38  2
194207  13    13  12  13  13  12  12  14  13  0.61  3
194208  13    12  12  12  11  12  12  18  14  0.61  3
194209  17    15  17  17  19  15  17  15  20  0.76  4
194210  22    20  21  19  18  24  29  26  21  0.87  4
194211  15    16  16  13  16  13  13  15  14  0.70  3
194212  11    11  12   9   9  11  11  10  12  0.52  2
194301  11    12   8   9  12   9  12  12  12  0.49  2
194302   9    10  11  10  12   7   7   9   8  0.45  2
194303  13    13  12  12  13   9  12  19  15  0.63  3
194304  14    19  19  16  13  12  12  11  12  0.65  3
194305  14    19  18  16  13  10  12  13  14  0.65  3
194306  12    13  14  12  13  12  13  10  12  0.62  3
194307  15    15  15  17  17  14  13  15  13  0.69  3
194308  31    31  33  31  31  35  30  29  30  1.10  5
194309  25    29  31  22  27  25  21  25  25  1.04  5
194310  24    24  23  22  25  23  23  24  23  0.93  4
194311  20    16  21  22  18  20  22  22  19  0.81  4
194312  14    13  12  11  14  15  17  17  15  0.65  3
194401  13    14  11  10  11  13  16  14  13  0.61  3
194402  12    12  12  13  12  13  11  10  12  0.52  2
194403  17    21  23  16  17  17  13  14  16  0.77  3
194404  15    16  14  21  20  13  12  13  13  0.67  3
194405   9     9   8   8  10  11   9   9  11  0.43  2
194406   8     7   8   9   7   7   8   7   9  0.37  2
194407   6     6   6   6   6   6   4   6   6  0.26  1
194408   9    12  10  12   8   8   7   8   9  0.43  2
194409  10    14  10   9   9   8   9  10  12  0.51  2
194410  11    15  13   9   8   7  11  11  15  0.53  2
194411   6     6   7   7   5   7   7   5   6  0.25  1
194412  14    12  12  11  12  17  20  12  13  0.55  2
194501  10    12  13   8   8   8   9  13  10  0.46  2
194502  10    11  11   9  10   9  10  12   9  0.51  2
194503  17    16  13  13  19  17  18  19  20  0.70  3
194504  13    13  12  13  16  13  13  13  12  0.59  3
194505   9     8   9   8   7   8  11  11  10  0.48  2
194506   7     6   7   8   7   6   7   6   7  0.32  1
194507   9    12  10   9   9   9   8   7  10  0.44  2
194508   7    10  10   6   6   6   6   7   6  0.32  1
194509  10    11   9   9  11   9  10   9   9  0.43  2
194510  11    12  10   7  11  13  12  13  13  0.49  2
194511   8     7   8  10   7   6   7   8   7  0.33  1
194512  13    15  15  13  11  14  11  12  14  0.61  3
194601  12    11  13  12  13  12  14  14  12  0.54  2
194602  22    24  20  24  27  22  22  18  21  0.79  4
194603  33    35  32  32  35  36  37  28  33  0.91  4
194604  20    22  16  18  19  20  22  19  22  0.71  3
194605  18    16  21  25  14  17  15  16  18  0.76  3
194606  16    14  14  14  15  20  19  18  15  0.74  3
194607  22    23  25  25  19  19  22  24  19  0.80  4
194608  11    11  14  12   9  12   8  13  13  0.48  2
194609  34    30  35  36  33  38  42  35  26  0.95  4
194610  13    14  16  16  12  11  11  11  13  0.62  3
194611  12    12  14  13  13  14  11   9  12  0.62  3
194612   9     9  10   9   9  10  10   8   8  0.47  2
194701  12    10  15  14  13  12  13  12  11  0.56  3
194702  12    12  12  12  13  13  12  10  11  0.54  2
194703  32    30  30  38  34  34  33  32  28  1.08  5
194704  18    15  14  15  16  18  19  21  22  0.77  4
194705  14    12  13  18  14  14  14  13  14  0.66  3
194706  16    17  21  17  14  12  16  16  15  0.74  3
194707  16    14  14  13  13  15  20  21  18  0.69  3
194708  25    29  20  21  31  25  28  22  26  0.96  4
194709  32    31  32  36  29  31  35  32  32  1.11  5
194710  23    23  25  24  20  21  24  25  22  0.89  4
194711  14    15  12  11  13  15  13  16  16  0.61  3
194712  11    11  11  10  11  11  11   9  10  0.55  2
194801  12    10  11  10  10  14  14  14  10  0.59  3
194802  13    14  11  13  13  15  12  11  13  0.63  3
194803  17    15  22  21  19  15  16  17  15  0.67  3
194804  13    16  18  14  11  10  12  11  10  0.64  3
194805  19    21  18  19  14  19  21  18  20  0.84  4
194806  10     9  10   9   9  10  11  11  10  0.48  2
194807  10    10   9  10   9  10  10  10  11  0.52  2
194808  20    18  19  21  20  20  18  21  22  0.75  3
194809  15    16  16  14  15  15  14  12  17  0.74  3
194810  27    26  32  29  26  26  25  23  31  1.01  4
194811  16    16  16  16  15  16  16  17  15  0.75  3
194812  13    12  13  11  14  12  15  15  13  0.65  3
194901  20    30  28  18  13  13  13  24  24  0.72  3
194902  14    19  16  15  14  14  13  11  13  0.69  3
194903  19    21  24  18  19  14  23  17  18  0.81  4
194904  14    15  14  13  14  14  16  13  15  0.61  3
194905  18    20  18  14  13  20  22  20  22  0.69  3
194906  14    17  12  12  11  12  14  16  19  0.64  3
194907   8     7   7   8   7   9   8  10   7  0.38  2
194908  14    17  18  16  14  14  11  11  12  0.61  3
194909  13    13  13  15  13  14  11  12  12  0.63  3
194910  25    25  23  21  25  22  27  32  26  0.89  4
194911  15    17  15  16  13  14  17  16  15  0.69  3
194912   9    10  10  10   8   7   8   9   8  0.44  2
195001  12    12  13  11  11  10  13  12  12  0.59  3
195002  18    17  20  16  14  14  13  25  22  0.67  3
195003  14    13  16  17  18  15  15  11   9  0.62  3
195004  18    17  24  21  15  15  16  20  19  0.82  4
195005  16    21  15  13  13  14  16  17  22  0.74  3
195006  14    15  19  11  12  13  15  14  15  0.64  3
195007  14    20  17  10  13  13  10  12  15  0.65  3
